Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop
CO_330:0000414,Athto_Ms_mg100g_DW,Antho_DW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000417,Athto_Cp_mg100g_FW,Antho_FW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000418,Aah_Ms_ugTrolox_DW,AAH_DW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000421,Aah_Ms_ugTrolox_FW,AAH_FW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000422,Aal_Ms_ugTrolox_DW,AAL_DW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000425,Aal_Ms_ugTrolox_FW,AAL_FW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000426,Ascdw_Ms_mg100_DW,ASC_DW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000429,Ascfw_Cp_mg100_FW,ASC_FW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000432,TubFlsPrt_Ms_pct,"PRO, PROTEIN",Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000435,TubFlsSta_Ms_pct,STAR,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000438,TubFlsFru_Ms_pct,FRUC,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000441,TubFlsGlu_Ms_pct,GLUC,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000444,TubFlsSuc_Ms_pct,SUCR,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000447,TubFlsMal_Ms_pct,MALT,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000450,TubFlsFf_Ms_pct,FIBER,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000620,Flwdgr_obs_0-4,FLOWERING,Characterizing stocks,Flowering stage,Recommended,De Haan et al. 2017,CIP,Breeder,2018-10-10 00:00:00,EN,Potato
CO_330:0000621,PSknCol_obs_1-10,,Characterizing stocks,Harvest,Recommended,De Haan et al. 2017,CIP,Breeder,2018-10-10 00:00:00,EN,Potato
CO_330:0000622,PFlshCol_obs_1-9,,Characterizing stocks,Harvest,Recommended,De Haan et al. 2017,CIP,Breeder,2018-10-10 00:00:00,EN,Potato
CO_330:0000623,RLb_obs_1-2,,Biotic stress trait,From full emergence until start of senescense,Recommended,De Haan et al. 2017,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000624,RPrlv_obs_1-2,,Biotic stress trait,From full emergence until start of senescense,Recommended,De Haan et al. 2017,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000625,RBw_obs_1-2,,Biotic stress trait,From full emergence until start of senescense,Recommended,De Haan et al. 2017,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000626,RRkn_obs_1-2,,Biotic stress trait,From full emergence until start of senescense,Recommended,De Haan et al. 2017,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000627,Reht_obs_1-2,HEAT,Abiotic stress trait,From full emergence until start of senescense,Recommended,De Haan et al. 2017,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000628,TbTsAc_obs_1-5,"TASTE,FLAVOUR",Evaluation in Breeding Trials,Post-harvest stage,Recommended,De Haan et al. 2017,CIP,Breeder,2018-10-10 00:00:00,EN,Potato
CO_330:0000629,TbTexAc_obs_1-5,"TEXTURE, TEXTAC",Evaluation in Breeding Trials,Post-harvest stage,Recommended,De Haan et al. 2017,CIP,Breeder,2018-10-10 00:00:00,EN,Potato
CO_330:0000630,PlVig_obs_1-3,,Evaluation in Breeding Trials,Flowering stage,Recommended,De Haan et al. 2017,CIP,Breeder,2018-10-10 00:00:00,EN,Potato
CO_330:0000631,Sen_obs_1-4,,Characterizing stocks,Flowering stage,Recommended,De Haan et al. 2017,CIP,Breeder,2018-10-10 00:00:00,EN,Potato
CO_330:0000632,LgStn_obs_1-2,,Characterizing stocks,Harvest,Recommended,De Haan et al. 2017,CIP,Breeder,2018-10-10 00:00:00,EN,Potato
CO_330:0000633,TubSiz_obs_1-4,Tub_Size,Evaluation in Breeding Trials,Harvest,Recommended,De Haan et al. 2017,CIP,Breeder,2018-10-10 00:00:00,EN,Potato
CO_330:0000634,TbMkquHv_obs_1-10,,Evaluation in Breeding Trials,Harvest,Recommended,De Haan et al. 2017,CIP,Breeder,2018-10-10 00:00:00,EN,Potato
CO_330:0000635,TbMkquSt_obs_1-7,,Evaluation in Breeding Trials,Harvest,Recommended,De Haan et al. 2017,CIP,Breeder,2018-10-10 00:00:00,EN,Potato
CO_330:0000636,MprFlw_Ct_plot,"MSM, BSM",Evaluation in Breeding Trials,Flowering stage,Recommended,De Haan et al. 2017,CIP,Breeder,2018-10-10 00:00:00,EN,Potato
CO_330:0000637,WprFlw_Ct_plot,"MSWM, BSWN",Evaluation in Breeding Trials,Flowering stage,Recommended,De Haan et al. 2017,CIP,Breeder,2018-10-10 00:00:00,EN,Potato
CO_330:0000638,MprHar_Ct_plot,"MSM, BSM",Evaluation in Breeding Trials,Havest stage,Recommended,De Haan et al. 2017,CIP,Breeder,2018-10-10 00:00:00,EN,Potato
CO_330:0000639,WprHar_Ct_plot,"MSWM, BSWN",Evaluation in Breeding Trials,Havest stage,Recommended,De Haan et al. 2017,CIP,Breeder,2018-10-10 00:00:00,EN,Potato
CO_330:0000640,MprPHar_Ct_plot,SCORE_MEN,Evaluation in Breeding Trials,Post-harvest stage,Recommended,De Haan et al. 2017,CIP,Breeder,2018-10-10 00:00:00,EN,Potato
CO_330:0000641,WprPHar_Ct_plot,SCORE_WOMEN,Evaluation in Breeding Trials,Post-harvest stage,Recommended,De Haan et al. 2017,CIP,Breeder,2018-10-10 00:00:00,EN,Potato
CO_330:0000642,Ca_Ms_mgkg_DW,CaDW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000643,Ca_Cp_mg100g_FW,CaFW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000644,Mg_Ms_mgkg_DW,MgDW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000645,Mg_Cp_mg100g_FW,MgFW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000646,K_Ms_mgkg_DW,KDW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000647,K_Cp_mg100g_FW,KFW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000648,P_Ms_mgkg_DW,PDW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000649,P_Cp_mg100g_FW,PFW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000650,S_Ms_mgkg_DW,SDW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000651,S_Cp_mg100g_FW,SFW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000652,Chloac_mg100g_Ms_DW,Chloac_DW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000653,Chloac_Cp_mg100g_FW,Chloac_FW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000654,CafAc_Ms_mg100g_DW,CafAc_DW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000655,CafAc_Cp_mg100g_FW,CafAc_FW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000656,Trip_Ms_mg100g_DW,Trip_DW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000657,Trip_Cp_mg100g_FW,Trip_FW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000658,Tphe_Ms_mg100g_DW,Tphe_DW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000659,Tphe_Cp_mg100g_FW,Tphe_FW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000660,Tgly_Ms_mg100g_fw,Tgly_DW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000661,Tgly_Cp_mg100g_FW,Tgly_FW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000662,Vio_Cp_ug100g_FW,Vio_DW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000663,Vio_Ms_ug100g_DW,Vio_FW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000664,Ant_Cp_ug100g_FW,Ant_DW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
CO_330:0000665,Ant_Ms_ug100g_DW,Ant_FW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2018-10-10 00:00:00,EN,Potato
